divTime	mrca	species.1	species.2	n	spClade.1	spClade.2	pairClade
861.35	249	Amia_calva	Engystomops_pustulosus	5	Amia_calva	272	272-Amia_calva
861.35	249	Amia_calva	Eleutherodactylus_coqui	7	Amia_calva	272	272-Amia_calva
861.35	249	Amia_calva	Rana_temporaria	16	Amia_calva	Rana_temporaria	Amia_calva-Rana_temporaria
861.35	249	Amia_calva	Hymenochirus_boettgeri	5	Amia_calva	Hymenochirus_boettgeri	Amia_calva-Hymenochirus_boettgeri
861.35	249	Amia_calva	Talpa_occidentalis	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Felis_catus	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Equus_asinus	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Physeter_catodon	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Inia_geoffrensis	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Lipotes_vexillifer	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Monodon_monoceros	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Neophocaena_asiaeorientalis_asiaeorientalis	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Tursiops_truncatus	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Mesoplodon_bidens	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Platanista_minor	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Eubalaena_japonica	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Megaptera_novaeangliae	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Muntiacus_muntjak	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Sus_scrofa	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Rousettus_aegyptiacus	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Molossus_molossus	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Oryctolagus_cuniculus_cuniculus	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Ictidomys_tridecemlineatus	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Macaca_fascicularis	1	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Heterohyrax_brucei	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Procavia_capensis	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Loxodonta_africana	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Elephas_maximus	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Trichechus_manatus_latirostris	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Hydrodamalis_gigas	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Dugong_dugon	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Chrysochloris_asiatica	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Microgale_talazaci	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Echinops_telfairi	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Elephantulus_edwardii	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Orycteropus_afer_afer	0	Amia_calva	275	275-Amia_calva
861.35	249	Amia_calva	Sphaerodactylus_townsendi	1	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Naja_naja	7	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Pseudonaja_textilis	6	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Emydocephalus_ijimae	5	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Hydrophis_cyanocinctus	5	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Pituophis_catenifer_pumilus	8	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Thamnophis_elegans	6	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Crotalus_viridis_viridis	6	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Varanus_komodoensis	2	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Sceloporus_undulatus	1	Amia_calva	307	307-Amia_calva
