Species	Observed.Class.1	Observed.Class.2	Expected.At.500.MY.Class.1	Expected.At.500.MY.Class.2
Apolygus_lucorum	4	137	0.0579311789014314	2.66811357071931
Aelia_acuminata	8	336	0.174762146488217	6.28701668764903
Riptortus_pedestris	4	493	0.081990308027284	8.95153394579529
Homalodisca_vitripennis	2	570	0.00968177639846619	13.9206953913229
Nilaparvata_lugens	4	258	0.0626679256440387	6.35887317748792
Schizaphis_graminum	0	40	NA	0.644319979417165
Eriosoma_lanigerum	3	164	0.0246564381839939	3.0178029716543
Phenacoccus_solenopsis	0	0	NA	NA
Trialeurodes_vaporariorum	0	0	NA	NA
Pachypsylla_venusta	0	131	NA	4.20190699132528
Nymphon_striatum	1	147	0.00307317031132681	0.0249239296382849
Carcinoscorpius_rotundicauda	4	334	0.00308115314546627	0.240685751786209
Limulus_polyphemus	30	365	0.00170464890638262	0.599376217894295
Tachypleus_gigas	3	338	NA	0.323781797360853
Dysdera_silvatica	11	756	6.47775296829374	25.4954562679945
Argiope_bruennichi	35	540	4.50644684227094	33.4499980292084
Parasteatoda_tepidariorum	38	664	5.31937509982129	38.246147552108
Dolomedes_plantarius	49	1332	2.71345718001955	35.7047257634156
Rhipicephalus_sanguineus	0	110	NA	15.7233276555303
Varroa_destructor	0	0	NA	NA
Dermatophagoides_farinae	0	3	NA	0.0501926385040167
Sarcoptes_scabiei	0	0	NA	NA
Tetranychus_urticae	0	0	NA	NA
Aculops_lycopersici	0	0	NA	NA
Gavialis_gangeticus	24	82	1.72007426329583	4.96331583052212
Crocodylus_porosus	25	78	2.59586417735422	4.32904508429327
Alligator_mississippiensis	24	72	2.10857507193163	6.16471196181382
Dromaius_novaehollandiae	2	34	0.00415909756874879	0.0621388614607053
Hirundo_rustica	6	0	0.00449782845691399	NA
Colaptes_auratus	1	0	0.00394523814583048	NA
Melopsittacus_undulatus	2	0	0.00417414575835711	NA
Gallus_gallus	0	7	NA	0.0364593085676673
Gymnogyps_californianus	1	5	NA	0.00465022314618541
Apus_apus	1	0	0.00409361312769768	NA
Streptopelia_turtur	2	23	0.00410448634275937	2.6281583293344
Merops_nubicus	3	0	0.00411333736773377	NA
Falco_naumanni	4	21	0.223020668640337	1.37971874424192
Eristalis_tenax	22	16	0.044012154703599	0.0340562871034843
Chrysotoxum_bicinctum	11	43	0.0425992863182556	0.0606608603419667
Xanthogramma_pedissequum	13	20	0.0528179281182171	0.0449091571251646
Platycheirus_albimanus	7	29	0.032224400480761	0.0494941171756353
Syritta_pipiens	7	7	0.0244837236856447	0.0190827338177442
Sphaerophoria_rueppellii	1	7	0.0072508266400737	0.0257926751265245
Scaeva_pyrastri	5	8	0.0224171128980032	0.0303827067125306
Xylota_sylvarum	20	30	0.0422573070309669	0.0426632092920802
Cheilosia_vulpina	51	64	0.04555511382853	0.0491852946161645
Criorhina_berberina	12	22	0.034349456567414	0.0316579338603865
Volucella_inanis	43	64	0.048721018378807	0.0493869593952325
Cirrula_hians	0	75	NA	0.817822371751931
Ephydra_gracilis	0	77	NA	0.672857621222797
Zaprionus_capensis	0	0	NA	NA
Lordiphosa_clarofinis	0	71	NA	0.678419590504399
Drosophila_athabasca	0	0	NA	NA
Scaptomyza_graminum	0	0	NA	NA
Scaptodrosophila_lebanonensis	0	74	NA	0.84083220754187
Chymomyza_costata	0	153	NA	1.69059129681983
Leucophenga_varia	0	0	NA	NA
Phortica_variegata	0	0	NA	NA
Chironomus_riparius	0	0	NA	NA
Propsilocerus_akamusi	0	8	NA	0.00198600131957456
Clunio_marinus	0	0	NA	NA
Polypedilum_vanderplanki	0	0	NA	NA
Aedes_aegypti	0	0	NA	NA
Anopheles_albimanus	0	1	NA	0.00852545971501399
Culex_quinquefasciatus	0	0	NA	NA
Chaoborus_trivitattus	0	0	NA	NA
Mochlonyx_cinctipes	0	154	NA	1.83093483103614
Lutzomyia_longipalpis	0	0	NA	NA
Coboldia_fuscipes	0	32	NA	0.215692385377305
Phlebotomus_papatasi	0	12	NA	0.0715733303077921
Tipula_oleracea	0	190	NA	2.31778655309173
Bradysia_coprophila	2	0	0.04467707947265	NA
Bolitophila_cinerea	0	150	NA	1.71888291007566
Mayetiola_destructor	3	18	0.0373024838980334	0.228038167934895
